object_level;object_name;gender;year;education_level;study_area;count_graduate;percent_employed;average_salary;oktmo;okato
Страна;Российская Федерация;Всего;2023;Магистратура;Инженерное дело, технологии и технические науки;41508;83.6381408;91138.94713;00000000;00000000
Страна;Российская Федерация;Всего;2023;Магистратура;Искусство и культура;3246;79.63537626;68512.16224;00000000;00000000
Страна;Российская Федерация;Всего;2023;Магистратура;Математические и естественные науки;9434;82.77893278;90949.25646;00000000;00000000
Страна;Российская Федерация;Всего;2023;Магистратура;Науки об обществе;65432;76.36878592;91587.76955;00000000;00000000
Страна;Российская Федерация;Всего;2023;Магистратура;Образование и педагогические науки;17011;86.16170882;62787.87144;00000000;00000000
Страна;Российская Федерация;Всего;2023;Магистратура;Сельское хозяйство и сельскохозяйственные науки;4900;79.3059126;65552.40525;00000000;00000000
Страна;Российская Федерация;Мужской;2019;СПО: специалисты среднего звена;Гуманитарные науки;5927;74.28348606;65063.55903;00000000;00000000
Страна;Российская Федерация;Мужской;2019;СПО: специалисты среднего звена;Здравоохранение и медицинские науки;8374;79.08140064;62536.72813;00000000;00000000
Страна;Российская Федерация;Мужской;2019;СПО: специалисты среднего звена;Инженерное дело, технологии и технические науки;156930;77.39652189;72936.53109;00000000;00000000
Страна;Российская Федерация;Мужской;2019;СПО: специалисты среднего звена;Искусство и культура;4076;74.6789595;57715.70043;00000000;00000000
Страна;Российская Федерация;Мужской;2019;СПО: специалисты среднего звена;Математические и естественные науки;95;82.75862069;62337.12;00000000;00000000
Страна;Российская Федерация;Мужской;2019;СПО: специалисты среднего звена;Науки об обществе;40637;64.35024717;60272.50947;00000000;00000000
Страна;Российская Федерация;Мужской;2019;СПО: специалисты среднего звена;Образование и педагогические науки;1522;79.18858002;60552.60451;00000000;00000000
Страна;Российская Федерация;Мужской;2019;СПО: специалисты среднего звена;Сельское хозяйство и сельскохозяйственные науки;14058;74.91846053;59761.95865;00000000;00000000
Страна;Российская Федерация;Мужской;2020;СПО: специалисты среднего звена;Гуманитарные науки;6292;69.76958525;61481.83577;00000000;00000000
Страна;Российская Федерация;Мужской;2020;СПО: специалисты среднего звена;Здравоохранение и медицинские науки;9001;74.33454749;59281.96673;00000000;00000000
Страна;Российская Федерация;Мужской;2020;СПО: специалисты среднего звена;Инженерное дело, технологии и технические науки;164893;74.34130193;70388.06708;00000000;00000000
Страна;Российская Федерация;Мужской;2020;СПО: специалисты среднего звена;Искусство и культура;4525;70.76297686;56531.38215;00000000;00000000
Страна;Российская Федерация;Мужской;2020;СПО: специалисты среднего звена;Математические и естественные науки;102;82.71604938;65607.095;00000000;00000000
Страна;Российская Федерация;Мужской;2020;СПО: специалисты среднего звена;Науки об обществе;44275;60.85681061;58620.58906;00000000;00000000
Страна;Российская Федерация;Мужской;2020;СПО: специалисты среднего звена;Образование и педагогические науки;1819;76.908867;58184.61591;00000000;00000000
Страна;Российская Федерация;Мужской;2020;СПО: специалисты среднего звена;Сельское хозяйство и сельскохозяйственные науки;15408;70.59601676;59412.99907;00000000;00000000
Страна;Российская Федерация;Мужской;2021;СПО: специалисты среднего звена;Гуманитарные науки;6639;67.35183282;57547.50758;00000000;00000000
Страна;Российская Федерация;Мужской;2021;СПО: специалисты среднего звена;Здравоохранение и медицинские науки;10382;70.40491087;56230.87009;00000000;00000000
Страна;Российская Федерация;Мужской;2021;СПО: специалисты среднего звена;Инженерное дело, технологии и технические науки;174122;71.61333552;65913.86;00000000;00000000
Страна;Российская Федерация;Мужской;2021;СПО: специалисты среднего звена;Искусство и культура;4701;67.78070947;53892.94219;00000000;00000000
Страна;Российская Федерация;Мужской;2021;СПО: специалисты среднего звена;Математические и естественные науки;98;68.18181818;52088.39915;00000000;00000000
Страна;Российская Федерация;Мужской;2021;СПО: специалисты среднего звена;Науки об обществе;49700;56.60207612;54964.2083;00000000;00000000
Страна;Российская Федерация;Мужской;2021;СПО: специалисты среднего звена;Образование и педагогические науки;1864;73.07001795;56209.6884;00000000;00000000
Страна;Российская Федерация;Мужской;2021;СПО: специалисты среднего звена;Сельское хозяйство и сельскохозяйственные науки;15846;65.94691239;57399.81712;00000000;00000000
Страна;Российская Федерация;Мужской;2022;СПО: специалисты среднего звена;Гуманитарные науки;7285;59.92484888;52414.71794;00000000;00000000
Страна;Российская Федерация;Мужской;2022;СПО: специалисты среднего звена;Здравоохранение и медицинские науки;10678;61.92583732;51960.58613;00000000;00000000
Страна;Российская Федерация;Мужской;2022;СПО: специалисты среднего звена;Инженерное дело, технологии и технические науки;181956;61.77468737;59627.92824;00000000;00000000
Страна;Российская Федерация;Мужской;2022;СПО: специалисты среднего звена;Искусство и культура;5111;63.44941047;48814.07207;00000000;00000000
Страна;Российская Федерация;Мужской;2022;СПО: специалисты среднего звена;Математические и естественные науки;69;58.18181818;51981.33481;00000000;00000000
Страна;Российская Федерация;Мужской;2022;СПО: специалисты среднего звена;Науки об обществе;58162;50.97146894;52557.82363;00000000;00000000
Страна;Российская Федерация;Мужской;2022;СПО: специалисты среднего звена;Образование и педагогические науки;1739;63.88710712;53842.71678;00000000;00000000
Страна;Российская Федерация;Мужской;2022;СПО: специалисты среднего звена;Сельское хозяйство и сельскохозяйственные науки;16991;57.12031558;53296.33016;00000000;00000000
Страна;Российская Федерация;Мужской;2023;СПО: специалисты среднего звена;Гуманитарные науки;7425;51.17340287;47738.30661;00000000;00000000
Страна;Российская Федерация;Мужской;2023;СПО: специалисты среднего звена;Здравоохранение и медицинские науки;11890;52.83510754;46290.6785;00000000;00000000
Страна;Российская Федерация;Мужской;2023;СПО: специалисты среднего звена;Инженерное дело, технологии и технические науки;197215;50.29469664;58853.66751;00000000;00000000
Страна;Российская Федерация;Мужской;2023;СПО: специалисты среднего звена;Искусство и культура;5234;53.51521511;42194.05095;00000000;00000000
Страна;Российская Федерация;Мужской;2023;СПО: специалисты среднего звена;Математические и естественные науки;79;59.01639344;51355.08591;00000000;00000000
Страна;Российская Федерация;Мужской;2023;СПО: специалисты среднего звена;Науки об обществе;61064;43.09869217;50348.34257;00000000;00000000
